rank,schooldist,county,pass,adc,freelunch,medincome
334,Eaton City,Preble,70.73,7.35,18.28,24330 
335,Minerva Local,Stark,70.7,8.56,26.03,23620 
336,Southwest Local,Hamilton,70.68,9.41,12.76,25641 
337,Northridge Local,Licking,70.67,4.29,10.85,27299 
338,Mapleton Local,Ashland,70.61,4.28,20.88,23464 
339,North Central Local,Williams,70.55,2.63,11.55,22588 
340,Pike-Delta-York Local,Fulton,70.53,4.94,21.14,24641 
341,Crestwood Local,Portage,70.53,4.68,13.54,26562 
342,Sidney City,Shelby,70.5,9.95,22.02,24360 
343,Southwest Licking Loca,Licking,70.48,6.11,12.22,29068 
344,Buckeye Local,Ashtabul,70.44,7.8,24.08,22054 
345,Ridgewood Local,Coshocto,70.43,9.93,23.07,21415 
346,Southington Local,Trumbull,70.39,7.39,13.47,26567 
347,West Clermont Local,Clermont,70.31,7.24,14.1,26903 
348,Deer Park Community Ci,Hamilton,70.24,5.86,14.5,24794 
349,Elgin Local,Marion,70.24,5.87,21.19,25643 
350,Johnstown-Monroe Local,Licking,70.19,4.24,10.5,27321 
351,Wellsville Local,Columbia,70.14,13.85,23.91,18856 
352,Martins Ferry City,Belmont,70.06,26.23,30.92,19419 
353,Fort Frye Local,Washingt,70.03,12.33,29.39,20394 
354,Williamsburg Local,Clermont,70.01,12.09,17.66,25251 
355,Ravenna City,Portage,69.96,17.88,34.01,23094 
356,Continental Local,Putnam,69.96,9.77,16.36,24603 
357,Wellington Ex Vill,Lorain,69.83,4.88,17.17,25244 
358,Celina City,Mercer,69.77,5.15,17.64,22692 
359,Streetsboro City,Portage,69.75,7.51,18.83,26747 
360,North Fork Local,Licking,69.74,6.39,18.91,24098 
361,Black River Local,Medina,69.74,4.15,23.32,26017 
362,Warren Local,Washingt,69.68,8.24,20.06,25063 
363,Heath City,Licking,69.68,4.08,13.21,25024 
364,Union-Scioto Local,Ross,69.68,12.18,17.86,28211 
365,Princeton City,Hamilton,69.67,12.97,32.28,27778 
366,Tri-County North Local,Preble,69.65,8.01,18.35,25335 
367,Brookfield Local,Trumbull,69.58,12.79,33.58,21721 
368,Fairfield Union Local,Fairfiel,69.56,8.44,18.81,24938 
369,Newton Falls Ex Vill,Trumbull,69.56,14.77,22.52,24104 
370,Conotton Valley Union,Harrison,69.46,8.68,28.66,19101 
371,Fairborn City,Greene,69.45,12.19,24.49,24393 
372,Firelands Local,Lorain,69.4,3.47,10.44,28576 
373,Piqua City,Miami,69.36,14.01,28.82,21227 
374,Barnesville Ex Vill,Belmont,69.32,15.47,26.57,17554 
375,James A Garfield Local,Portage,69.27,8.4,21.21,24889 
376,Washington Court House,Fayette,69.13,14.55,26.09,20639 
377,LaBrae Local,Trumbull,69.1,14,40.99,23784 
378,Norwalk City,Huron,69.07,11.96,23.82,22425 
379,Springfield Local,Mahoning,69.05,10.74,31.12,21458 
380,Crestview Local,Richland,69.05,5.67,20.65,22870 
381,Indian Valley Local,Tuscaraw,69.01,9.38,31.26,20357 
382,Shadyside Local,Belmont,68.94,14.15,12.24,20856 
383,Coventry Local,Summit,68.92,9.71,25.49,24602 
384,Osnaburg Local,Stark,68.91,7.25,23.18,23512 
385,Fairlawn Local,Shelby,68.89,2.19,7.68,23973 
386,Centerburg Local,Knox,68.83,3,9.43,27392 
387,Wheelersburg Local,Scioto,68.8,18.16,22.12,22695 
388,Norwood City,Hamilton,68.73,22.11,34.21,20988 
389,Shelby City,Richland,68.72,7.65,22.88,23008 
390,Batavia Local,Clermont,68.64,14.91,24.57,25088 
391,Bethel-Tate Local,Clermont,68.58,11.05,18.16,23650 
392,Monroeville Local,Huron,68.52,4.11,24.27,24268 
393,Ledgemont Local,Geauga,68.5,4.35,14.09,26620 
394,Geneva Area City,Ashtabul,68.45,13.93,36.04,22262 
395,Clermont-Northeastern,Clermont,68.41,7.77,17.05,26075 
396,Ironton City,Lawrence,68.32,30.41,31.7,19491 
397,Ridgedale Local,Marion,68.28,3.36,19.09,25495 
398,Fairless Local,Stark,68.25,7.75,21.15,22569 
399,Tuslaw Local,Stark,68.22,6.52,20.78,25091 
400,Adena Local,Ross,68.19,11.8,21.22,23616 
401,Felicity-Franklin Loca,Clermont,68.17,21.75,35.11,21875 
402,Bloomfield-Mespo Local,Trumbull,68.13,7.55,50.56,21090 
403,Woodridge Local,Summit,68.11,18.23,22.16,29586 
404,Madison Local,Butler,68.08,8.58,12.81,27916 
405,Carlisle Local,Warren,67.99,6.47,15.18,25929 
406,Weathersfield Local,Trumbull,67.95,12.22,29.26,23830 
407,Clay Local,Scioto,67.87,22.01,34.48,22253 
408,Wilmington City,Clinton,67.85,11.76,20.36,23414 
409,Hardin-Houston Local,Shelby,67.84,2.77,10.34,25818 
410,Hardin Northern Local,Hardin,67.84,7.28,17.53,23140 
411,New Richmond Ex Vill,Clermont,67.69,14.34,31.97,24288 
412,Harrison Hills City,Harrison,67.66,20.1,37.24,18620 
413,Georgetown Ex Vill,Brown,67.62,9.62,23.23,21576 
414,Delaware City,Delaware,67.61,8.64,16.07,25392 
415,Lockland City,Hamilton,67.59,27.01,44.5,20293 
416,Midview Local,Lorain,67.48,6.29,15.32,27799 
417,Willard City,Huron,67.44,14.88,29.34,24066 
418,Northeastern Local,Clark,67.42,2.87,7.16,29945 
419,North Union Local,Union,67.33,5.25,16.39,26694 
420,C R Coblentz Local,Preble,67.27,8.26,17.16,22337 
421,Bellevue City,Huron,67.27,6.08,19.82,25150 
422,Wolf Creek Local,Washingt,67.26,2.76,28.03,22684 
423,Hopewell-Loudon Local,Seneca,67.25,4,15.7,24260 
424,Tri-Valley Local,Muskingu,67.21,6.62,15.67,23446 
425,Winton Woods City,Hamilton,67.16,8.59,18.84,28325 
426,Goshen Local,Clermont,67.14,6.18,21.85,24446 
427,Noble Local,Noble,67.12,12.4,28,20266 
428,Northwood Local,Wood,67.08,6.46,15.77,25933 
429,East Guernsey Local,Guernsey,67.05,14.29,31.14,19245 
430,Perry Local,Allen,67.04,17.25,33.79,20360 
431,Eastern Local,Brown,66.99,9.78,25.67,20850 
432,Galion City,Crawford,66.95,13.79,22.71,20377 
433,Jackson Center Local,Shelby,66.94,6.04,15.81,25704 
434,Belpre City,Washingt,66.91,15.12,17.02,23778 
435,Genoa Area Local,Ottawa,66.9,4.58,10.51,26822 
436,Lynchburg-Clay Local,Highland,66.9,8.63,21.61,21859 
437,Brooklyn City,Cuyahoga,66.81,6.41,20.18,23768 
438,Benjamin Logan Local,Logan,66.77,4.47,11.08,27324 
439,Lakota Local,Sandusky,66.73,9.79,23.82,24082 
440,Barberton City,Summit,66.72,26.94,47.14,20442 
441,Western Reserve Local,Huron,66.7,5.49,18.5,25515 
442,Teays Valley Local,Pickaway,66.64,8.27,22.5,25469 
443,Pymatuning Valley Loca,Ashtabul,66.62,14.74,30.91,19018 
444,Chillicothe City,Ross,66.52,20.52,33.59,23150 
445,Beaver Local,Columbia,66.36,10.35,34.25,20973 
446,Oberlin City,Lorain,66.32,16.13,28,25211 
447,Lancaster City,Fairfiel,66.3,13.1,28.39,22090 
448,Twin Valley Community,Preble,66.27,7.12,23.76,25390 
